2019-11-04 12:44:38.344 [main] ERROR  - 95 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 97 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 109 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:44:38.344 [main] ERROR  - 112 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 114 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 127 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:44:38.344 [main] ERROR  - 130 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 132 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.344 [main] ERROR  - 144 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:44:38.344 [main] ERROR  - 145 : 15 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":soil}'. One of '{"http://www.ysenko.by/flowers":name}' is expected.
2019-11-04 12:44:38.360 [main] ERROR  - 145 : 28 - cvc-enumeration-valid: Value 'asdasd' is not facet-valid with respect to enumeration '[Podzolic, Ground, Sod-podzolic]'. It must be a value from the enumeration.
2019-11-04 12:44:38.360 [main] ERROR  - 145 : 28 - cvc-type.3.1.3: The value 'asdasd' of element 'soil' is not valid.
2019-11-04 12:44:38.360 [main] ERROR  - 148 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:44:38.360 [main] ERROR  - 149 : 40 - cvc-datatype-valid.1.2.1: 'asdzxc' is not a valid value for 'boolean'.
2019-11-04 12:44:38.360 [main] ERROR  - 149 : 40 - cvc-type.3.1.3: The value 'asdzxc' of element 'lighting' is not valid.
2019-11-04 12:44:38.360 [main] ERROR  - 150 : 41 - cvc-datatype-valid.1.2.1: '32423er' is not a valid value for 'float'.
2019-11-04 12:44:38.360 [main] ERROR  - 150 : 41 - cvc-type.3.1.3: The value '32423er' of element 'watering' is not valid.
2019-11-04 12:44:38.375 [main] FATAL  - 152 : 11 - The element type "blossom" must be terminated by the matching end-tag "</blossom>".
